State,Stateabbr,Metro,MetroSize,Numberinhousehold,Poverty,Disability,Lunch,FoodStamps,IncomeScale,Unemployment,Welfare,WIC,SocialSec,SupSocialSec,TotalIncome,Minor,Vet
1,AL,0,0,1,0,0,0,1,6,0,0,0,1,0,14335,0,0
1,AL,0,0,1,0,0,0,0,7,0,0,0,0,0,15000,0,0
1,AL,0,0,1,0,0,0,0,36,0,0,0,1,0,88021,0,0
1,AL,0,0,1,0,0,0,0,41,0,0,0,0,0,152000,0,0
1,AL,0,0,1,1,0,0,0,1,0,0,0,1,1,1650,0,0
1,AL,0,0,1,0,0,0,0,12,0,0,0,0,0,28102,0,0
1,AL,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1,AL,0,0,1,1,0,0,0,5,0,0,0,1,1,12132,0,0
1,AL,0,0,1,0,0,0,0,7,0,0,0,1,0,15775,0,0
1,AL,0,0,1,1,0,0,0,5,0,0,0,1,1,12391,0,0
1,AL,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1,AL,0,0,1,1,0,0,0,6,0,0,0,1,1,12655,0,0
1,AL,0,0,1,1,0,0,0,1,0,0,0,1,1,1606,0,0
1,AL,0,0,1,1,0,0,0,2,0,0,0,1,0,2580,0,0
1,AL,0,0,1,1,0,0,0,1,0,0,0,1,1,1667,0,0
1,AL,0,0,1,1,0,0,0,1,0,0,0,1,0,1500,0,0
1,AL,0,0,1,0,0,0,0,7,0,0,0,1,0,16135,0,0
1,AL,0,0,1,1,0,0,0,1,0,0,0,1,0,708,0,0
1,AL,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1,AL,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
1,AL,0,0,1,1,0,0,0,1,0,0,0,1,1,1152,0,0
1,AL,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
1,AL,0,0,1,1,1,0,0,4,0,0,0,0,0,8520,0,0
1,AL,0,0,1,0,0,0,0,8,0,0,0,1,0,19735,0,0
1,AL,0,0,1,0,0,0,0,8,0,0,0,1,0,19385,0,0
1,AL,0,0,1,1,0,0,0,1,0,0,0,1,0,146,0,0
